AKT1	AKT serine/threonine kinase 1
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
HLA-G	major histocompatibility complex, class I, G
HMOX1	heme oxygenase 1
ICAM1	intercellular adhesion molecule 1
IL4	interleukin 4
IL17A	interleukin 17A
IL18	interleukin 18
ITGB3	integrin subunit beta 3
NFE2L2	nuclear factor, erythroid 2 like 2
NPPB	natriuretic peptide B
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
RB1	RB transcriptional corepressor 1
RELA	RELA proto-oncogene, NF-kB subunit
CXCL12	C-X-C motif chemokine ligand 12
SOD1	superoxide dismutase 1
SPP1	secreted phosphoprotein 1
SRC	SRC proto-oncogene, non-receptor tyrosine kinase
TLR2	toll like receptor 2
VWF	von Willebrand factor
XRCC1	X-ray repair cross complementing 1
FOXP3	forkhead box P3
GHRL	ghrelin and obestatin prepropeptide
NOD2	nucleotide binding oligomerization domain containing 2
NAT2	N-acetyltransferase 2
Loci in other organisms that are functionally homologous to this one are validly referred to as both NAT1 and NAT2; i.e., the functional homologs of NAT1 include mouse and rat Nat2, while the functional homologs of human NAT2 include mouse and rat Nat1. Name:sequence associations are consistent with current use in the field. [13 Feb 2013]
ABCA1	ATP binding cassette subfamily A member 1
PARP1	poly(ADP-ribose) polymerase 1
AGER	advanced glycosylation end-product specific receptor
AGTR1	angiotensin II receptor type 1
APOB	apolipoprotein B
RHOA	ras homolog family member A
CASP8	caspase 8
CD14	CD14 molecule
CETP	cholesteryl ester transfer protein
COL1A1	collagen type I alpha 1 chain
CYP2C9	cytochrome P450 family 2 subfamily C member 9
CYP3A4	cytochrome P450 family 3 subfamily A member 4
EDN1	endothelin 1
EGF	epidermal growth factor
EP300	E1A binding protein p300
F3	coagulation factor III, tissue factor
F8	coagulation factor VIII
FGF2	fibroblast growth factor 2
FN1	fibronectin 1
HBA1	hemoglobin subunit alpha 1
We are aware that there is inconsistency among GenBank, RefSeq, and other browsers about the gene order in the alpha globin cluster. According to review by staff at HbVar (http://globin.bx.psu.edu/hbvar/menu.html), the gene order, telomere to centromere, for these loci is ...HBZ(HBZ2)..HBZP(HBZ1)..HBA2..HBA1... [13 Feb 2013]
CFH	complement factor H
HGF	hepatocyte growth factor
HLA-C	major histocompatibility complex, class I, C
HMGB1	high mobility group box 1
HSP90AA1	heat shock protein 90 alpha family class A member 1
HTR2A	5-hydroxytryptamine receptor 2A
IGF1R	insulin like growth factor 1 receptor
IL1A	interleukin 1 alpha
IL1RN	interleukin 1 receptor antagonist
IL2	interleukin 2
INS	insulin
ITGB1	integrin subunit beta 1
KDR	kinase insert domain receptor
LCN2	lipocalin 2
LGALS3	galectin 3
GeneID 3958 had the official symbol LGALS2 and was identified as the human homolog of mouse Mac-2 (macrophage galactose-specific lectin) in M35368.1 and PMID: 2402511. The official symbol for this gene is now LGALS3. [30 Mar 2010]
LMNA	lamin A/C
LPL	lipoprotein lipase
MBL2	mannose binding lectin 2
MGMT	O-6-methylguanine-DNA methyltransferase
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MMP1	matrix metallopeptidase 1
MPO	myeloperoxidase
MSH2	mutS homolog 2
NOS2	nitric oxide synthase 2
TNFRSF11B	TNF receptor superfamily member 11b
SERPINA1	serpin family A member 1
MAPK3	mitogen-activated protein kinase 3
RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
SOD2	superoxide dismutase 2
STAT1	signal transducer and activator of transcription 1
TCF7L2	transcription factor 7 like 2
TCF4 (GeneID: 6925) and TCF7L2 (GeneID: 6934) loci share the TCF4 symbol/alias in common. TCF4 is a widely used alternative name for T-cell-specific transcription factor 4 (TCF7L2) conflicting with the official symbol for transcription factor 4 (TCF4). [26 Jun 2008]
TTR	transthyretin
TNFSF10	TNF superfamily member 10
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
SIRT1	sirtuin 1
UGT1A1	UDP glucuronosyltransferase family 1 member A1
FTO	FTO, alpha-ketoglutarate dependent dioxygenase
IFNL3	interferon lambda 3
MIR21	microRNA 21
ALB	albumin
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
FASLG	Fas ligand
BMP2	bone morphogenetic protein 2
C3	complement C3
CD40	CD40 molecule
CD40LG	CD40 ligand
CST3	cystatin C
CTGF	connective tissue growth factor
CYP2E1	cytochrome P450 family 2 subfamily E member 1
CYP3A5	cytochrome P450 family 3 subfamily A member 5
CYP17A1	cytochrome P450 family 17 subfamily A member 1
E2F1	E2F transcription factor 1
FLT1	fms related tyrosine kinase 1
GNAS	GNAS complex locus
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
IGF2	insulin like growth factor 2
IGFBP3	insulin like growth factor binding protein 3
IL13	interleukin 13
INSR	insulin receptor
KCNQ1	potassium voltage-gated channel subfamily Q member 1
LEPR	leptin receptor
MAOA	monoamine oxidase A
MMP3	matrix metallopeptidase 3
OGG1	8-oxoguanine DNA glycosylase
PDCD1	programmed cell death 1
PLAUR	plasminogen activator, urokinase receptor
CCL5	C-C motif chemokine ligand 5
SLC2A1	solute carrier family 2 member 1
TIMP1	TIMP metallopeptidase inhibitor 1
TLR3	toll like receptor 3
TNFRSF1A	TNF receptor superfamily member 1A
TNFSF11	TNF superfamily member 11
PROM1	prominin 1
CHEK2	checkpoint kinase 2
PTPN22	protein tyrosine phosphatase, non-receptor type 22
CD274	CD274 molecule
TLR9	toll like receptor 9
RETN	resistin
KLK3	kallikrein related peptidase 3
CALCA	calcitonin related polypeptide alpha
CASR	calcium sensing receptor
RUNX2	runt related transcription factor 2
CDK2	cyclin dependent kinase 2
CLU	clusterin
CNR1	cannabinoid receptor 1
NQO1	NAD(P)H quinone dehydrogenase 1
DPP4	dipeptidyl peptidase 4
ENG	endoglin
EPO	erythropoietin
FCGR2A	Fc fragment of IgG receptor IIa
FOXO3	forkhead box O3
G6PD	glucose-6-phosphate dehydrogenase
GH1	growth hormone 1
GNB3	G protein subunit beta 3
GRN	granulin precursor
NRG1	neuregulin 1
HNF4A	hepatocyte nuclear factor 4 alpha
HSPA4	heat shock protein family A (Hsp70) member 4
HSPA5	heat shock protein family A (Hsp70) member 5
HSPB1	heat shock protein family B (small) member 1
IL2RA	interleukin 2 receptor subunit alpha
IL12B	interleukin 12B
CXCL10	C-X-C motif chemokine ligand 10
IRS1	insulin receptor substrate 1
ITGB2	integrin subunit beta 2
LTA	lymphotoxin alpha
SMAD3	SMAD family member 3
MCL1	MCL1, BCL2 family apoptosis regulator
MEFV	MEFV, pyrin innate immunity regulator
MMP14	matrix metallopeptidase 14
NFKBIA	NFKB inhibitor alpha
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
POU5F1	POU class 5 homeobox 1
PPARA	peroxisome proliferator activated receptor alpha
PRKCD	protein kinase C delta
RAF1	Raf-1 proto-oncogene, serine/threonine kinase
SHH	sonic hedgehog
SOX2	SRY-box 2
SYK	spleen associated tyrosine kinase
HNF1A	HNF1 homeobox A
TGM2	transglutaminase 2
THBS1	thrombospondin 1
TNNT2	troponin T2, cardiac type
TWIST1	twist family bHLH transcription factor 1
VCAM1	vascular cell adhesion molecule 1
EZR	ezrin
FGF23	fibroblast growth factor 23
NAMPT	nicotinamide phosphoribosyltransferase
TNFSF13B	TNF superfamily member 13b
PPARGC1A	PPARG coactivator 1 alpha
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
HAMP	hepcidin antimicrobial peptide
NLRP3	NLR family pyrin domain containing 3
APOA5	apolipoprotein A5
PCSK9	proprotein convertase subtilisin/kexin type 9
MIR146A	microRNA 146a
hsa-mir-146	hsa-mir-146a
MIR155	microRNA 155
hsa-mir-155
MICA	MHC class I polypeptide-related sequence A
ADM	adrenomedullin
AMH	anti-Mullerian hormone
ANGPT2	angiopoietin 2
ANXA2	annexin A2
B2M	beta-2-microglobulin
BCR	BCR, RhoGEF and GTPase activating protein
CD36	CD36 molecule
CEBPA	CCAAT/enhancer binding protein alpha
CHI3L1	chitinase 3 like 1
CYP11B2	cytochrome P450 family 11 subfamily B member 2
FCGR3A	Fc fragment of IgG receptor IIIa
FOXO1	forkhead box O1
HP	haptoglobin
HSPA1A	heat shock protein family A (Hsp70) member 1A
HTR1A	5-hydroxytryptamine receptor 1A
IL15	interleukin 15
KCNJ11	potassium voltage-gated channel subfamily J member 11
LCK	LCK proto-oncogene, Src family tyrosine kinase
LGALS1	galectin 1
LPA	lipoprotein(a)
MC4R	melanocortin 4 receptor
MMP7	matrix metallopeptidase 7
NOTCH3	notch 3
P2RX7	purinergic receptor P2X 7
PLG	plasminogen
PROC	protein C, inactivator of coagulation factors Va and VIIIa
PTX3	pentraxin 3
RBP4	retinol binding protein 4
S100B	S100 calcium binding protein B
SELE	selectin E
SELP	selectin P
STK11	serine/threonine kinase 11
TGFBR1	transforming growth factor beta receptor 1
TNFRSF1B	TNF receptor superfamily member 1B
SOCS3	suppressor of cytokine signaling 3
BCL2L11	BCL2 like 11
HPSE	heparanase
DKK1	dickkopf WNT signaling pathway inhibitor 1
DICER1	dicer 1, ribonuclease III
CCR2	C-C motif chemokine receptor 2
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ADORA2A	adenosine A2a receptor
ADRB3	adrenoceptor beta 3
APOC3	apolipoprotein C3
BMP4	bone morphogenetic protein 4
CAT	catalase
RUNX3	runt related transcription factor 3
CD34	CD34 molecule
CDK4	cyclin dependent kinase 4
CEBPB	CCAAT/enhancer binding protein beta
CYBA	cytochrome b-245 alpha chain
CYP2A6	cytochrome P450 family 2 subfamily A member 6
DRD3	dopamine receptor D3
EPHX1	epoxide hydrolase 1
ERBB3	erb-b2 receptor tyrosine kinase 3
FGB	fibrinogen beta chain
GCK	glucokinase
GHR	growth hormone receptor
HLA-DPB1	major histocompatibility complex, class II, DP beta 1
HSPD1	heat shock protein family D (Hsp60) member 1
IAPP	islet amyloid polypeptide
IFNB1	interferon beta 1
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta
IL4R	interleukin 4 receptor
IL6R	interleukin 6 receptor
ITGA2	integrin subunit alpha 2
ITGA2B	integrin subunit alpha 2b
LRP1	LDL receptor related protein 1
LTF	lactotransferrin
MME	membrane metalloendopeptidase
MYD88	myeloid differentiation primary response 88
MYH9	myosin heavy chain 9
NOS1	nitric oxide synthase 1
NPY	neuropeptide Y
PAX6	paired box 6
SERPINF1	serpin family F member 1
PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
PLAT	plasminogen activator, tissue type
POLG	DNA polymerase gamma, catalytic subunit
PPIA	peptidylprolyl isomerase A
PTH	parathyroid hormone
RXRA	retinoid X receptor alpha
S100A9	S100 calcium binding protein A9
SDC1	syndecan 1
SHBG	sex hormone binding globulin
SHC1	SHC adaptor protein 1
SPARC	secreted protein acidic and cysteine rich
ADAM17	ADAM metallopeptidase domain 17
TF	transferrin
TNNI3	troponin I3, cardiac type
TXN	thioredoxin
UCP2	uncoupling protein 2
TRPV1	transient receptor potential cation channel subfamily V member 1
HMGA2	high mobility group AT-hook 2
GDF15	growth differentiation factor 15
DDX58	DExD/H-box helicase 58
BACE1	beta-secretase 1
IL21	interleukin 21
PINK1	PTEN induced putative kinase 1
IL23R	interleukin 23 receptor
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
AHSG	alpha 2-HS glycoprotein
ALDH1A1	aldehyde dehydrogenase 1 family member A1
AVP	arginine vasopressin
CASP9	caspase 9
CD28	CD28 molecule
SCARB1	scavenger receptor class B member 1
CRYAB	crystallin alpha B
CTSB	cathepsin B
CYBB	cytochrome b-245 beta chain
FGG	fibrinogen gamma chain
GCG	glucagon
GPX1	glutathione peroxidase 1
IL12A	interleukin 12A
LIPC	lipase C, hepatic type
MEN1	menin 1
MUTYH	mutY DNA glycosylase
OLR1	oxidized low density lipoprotein receptor 1
PECAM1	platelet and endothelial cell adhesion molecule 1
POMC	proopiomelanocortin
PPARD	peroxisome proliferator activated receptor delta
PRKCB	protein kinase C beta
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
PRL	prolactin
PTPN1	protein tyrosine phosphatase, non-receptor type 1
PTPRC	protein tyrosine phosphatase, receptor type C
S100A4	S100 calcium binding protein A4
SREBF1	sterol regulatory element binding transcription factor 1
TGFBI	transforming growth factor beta induced
THBD	thrombomodulin
TNFAIP3	TNF alpha induced protein 3
TSC2	tuberous sclerosis 2
WNT5A	Wnt family member 5A
WRN	Werner syndrome RecQ like helicase
PLA2G7	phospholipase A2 group VII
SOCS1	suppressor of cytokine signaling 1
NR1I2	nuclear receptor subfamily 1 group I member 2
KLF4	Kruppel like factor 4
KL	klotho
MIR145	microRNA 145
hsa-mir-145
A2M	alpha-2-macroglobulin
ABCA4	ATP binding cassette subfamily A member 4
ADA	adenosine deaminase
ADAM10	ADAM metallopeptidase domain 10
ALOX5	arachidonate 5-lipoxygenase
ALPL	alkaline phosphatase, liver/bone/kidney
ANGPT1	angiopoietin 1
ANXA1	annexin A1
BCHE	butyrylcholinesterase
BGLAP	bone gamma-carboxyglutamate protein
BMP7	bone morphogenetic protein 7
CD38	CD38 molecule
CDKN2B	cyclin dependent kinase inhibitor 2B
CHGA	chromogranin A
CPB2	carboxypeptidase B2
CSF2	colony stimulating factor 2
CX3CR1	C-X3-C motif chemokine receptor 1
DNMT3A	DNA methyltransferase 3 alpha
ELANE	elastase, neutrophil expressed
ELN	elastin
ERBB4	erb-b2 receptor tyrosine kinase 4
FASN	fatty acid synthase
GAPDH	glyceraldehyde-3-phosphate dehydrogenase
GC	GC, vitamin D binding protein
GZMB	granzyme B
HLA-E	major histocompatibility complex, class I, E
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
HSF1	heat shock transcription factor 1
IFNA1	interferon alpha 1
IGFBP1	insulin like growth factor binding protein 1
IL7R	interleukin 7 receptor
ITGAM	integrin subunit alpha M
LRP5	LDL receptor related protein 5
MMP13	matrix metallopeptidase 13
NPPA	natriuretic peptide A
NTRK2	neurotrophic receptor tyrosine kinase 2
PAPPA	pappalysin 1
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
PGF	placental growth factor
PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
PRKCZ	protein kinase C zeta
PTGS1	prostaglandin-endoperoxide synthase 1
PTHLH	parathyroid hormone like hormone
REN	renin
RPS6KB1	ribosomal protein S6 kinase B1
SAA1	serum amyloid A1
CX3CL1	C-X3-C motif chemokine ligand 1
STAT5A	signal transducer and activator of transcription 5A
TBP	TATA-box binding protein
ZEB1	zinc finger E-box binding homeobox 1
TFPI	tissue factor pathway inhibitor
TIMP3	TIMP metallopeptidase inhibitor 3
UCHL1	ubiquitin C-terminal hydrolase L1
CD163	CD163 molecule
IL22	interleukin 22
This gene (GeneID: 50616) was identified as IL-21 or IL-TIF in PMID: 10954742. The official symbol for this gene is now IL22. [19 May 2011]
SOST	sclerostin
WWOX	WW domain containing oxidoreductase
ACE2	angiotensin I converting enzyme 2
PNPLA3	patatin like phospholipase domain containing 3
CD24	CD24 molecule
ADAR	adenosine deaminase, RNA specific
JAG1	jagged 1
BLM	Bloom syndrome RecQ like helicase
FABP4	fatty acid binding protein 4
FXN	frataxin
NR5A1	nuclear receptor subfamily 5 group A member 1
GATA4	GATA binding protein 4
GCH1	GTP cyclohydrolase 1
CXCR3	C-X-C motif chemokine receptor 3
GPER1	G protein-coupled estrogen receptor 1
HMGA1	high mobility group AT-hook 1
IGFBP2	insulin like growth factor binding protein 2
IL7	interleukin 7
INHBA	inhibin beta A subunit
IRF5	interferon regulatory factor 5
JAK1	Janus kinase 1
KRT18	keratin 18
SMAD7	SMAD family member 7
CIITA	class II major histocompatibility complex transactivator
PLA2G2A	phospholipase A2 group IIA
PROS1	protein S (alpha)
S100A8	S100 calcium binding protein A8
SFTPD	surfactant protein D
SLC6A2	solute carrier family 6 member 2
SPINK1	serine peptidase inhibitor, Kazal type 1
ABCC8	ATP binding cassette subfamily C member 8
HNF1B	HNF1 homeobox B
TH	tyrosine hydroxylase
FADD	Fas associated via death domain
NRP1	neuropilin 1
HDAC3	histone deacetylase 3
KAT2B	lysine acetyltransferase 2B
APLN	apelin
NR1H3	nuclear receptor subfamily 1 group H member 3
IKZF1	IKAROS family zinc finger 1
FGF21	fibroblast growth factor 21
TLR7	toll like receptor 7
IL23A	interleukin 23 subunit alpha
NANOG	Nanog homeobox
HAVCR2	hepatitis A virus cellular receptor 2
ACHE	acetylcholinesterase (Cartwright blood group)
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADRA2A	adrenoceptor alpha 2A
AKT2	AKT serine/threonine kinase 2
ALOX15	arachidonate 15-lipoxygenase
ANG	angiogenin
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
BDKRB2	bradykinin receptor B2
C5	complement C5
CASP1	caspase 1
CD59	CD59 molecule (CD59 blood group)
CP	ceruloplasmin
CSF3	colony stimulating factor 3
DAPK1	death associated protein kinase 1
DDIT3	DNA damage inducible transcript 3
DEFB1	defensin beta 1
EDNRB	endothelin receptor type B
FABP2	fatty acid binding protein 2
FGF1	fibroblast growth factor 1
FLT4	fms related tyrosine kinase 4
GGT1	gamma-glutamyltransferase 1
GLP1R	glucagon like peptide 1 receptor
CXCL1	C-X-C motif chemokine ligand 1
HSD11B2	hydroxysteroid 11-beta dehydrogenase 2
IL1R1	interleukin 1 receptor type 1
IL6ST	interleukin 6 signal transducer
KCNMA1	potassium calcium-activated channel subfamily M alpha 1
FURIN	furin, paired basic amino acid cleaving enzyme
PAX3	paired box 3
PF4	platelet factor 4
PLA2G4A	phospholipase A2 group IVA
PRF1	perforin 1
RAN	RAN, member RAS oncogene family
RHD	Rh blood group D antigen
RYR2	ryanodine receptor 2
CCL3	C-C motif chemokine ligand 3
SELL	selectin L
SGK1	serum/glucocorticoid regulated kinase 1
SLC11A1	solute carrier family 11 member 1
STAT4	signal transducer and activator of transcription 4
TAC1	tachykinin precursor 1
TAP1	transporter 1, ATP binding cassette subfamily B member
TEK	TEK receptor tyrosine kinase
TJP1	tight junction protein 1
TPO	thyroid peroxidase
XBP1	X-box binding protein 1
TNFRSF11A	TNF receptor superfamily member 11a
CLDN1	claudin 1
IL1RL1	interleukin 1 receptor like 1
This gene, IL1RL1 (GeneID: 9173) which has the alias ST2, is found on chromosome 2. IL1RL1 encodes a member of the interleukin 1 receptor family. IL1RL1 has been confused in the published literature with ST2 (GeneID: 6761) on chromosome 11 which is a region that represents a putative locus associated with various forms of cancer. [23 Jun 2016]
CLOCK	clock circadian regulator
KEAP1	kelch like ECH associated protein 1
CAPN10	calpain 10
HAVCR1	hepatitis A virus cellular receptor 1
TET2	tet methylcytosine dioxygenase 2
TRPV4	transient receptor potential cation channel subfamily V member 4
IFIH1	interferon induced with helicase C domain 1
P2RY12	purinergic receptor P2Y12
COL18A1	collagen type XVIII alpha 1 chain
IL27	interleukin 27
MIR126	microRNA 126
hsa-mir-126
GRK2	G protein-coupled receptor kinase 2
AKR1B1	aldo-keto reductase family 1 member B
ATF4	activating transcription factor 4
BID	BH3 interacting domain death agonist
CD1D	CD1d molecule
CD86	CD86 molecule
CDH13	cadherin 13
CDKN1C	cyclin dependent kinase inhibitor 1C
CYP24A1	cytochrome P450 family 24 subfamily A member 1
CYP27B1	cytochrome P450 family 27 subfamily B member 1
EDNRA	endothelin receptor type A
GAA	glucosidase alpha, acid
GSTA1	glutathione S-transferase alpha 1
HLA-DRA	major histocompatibility complex, class II, DR alpha
NR4A1	nuclear receptor subfamily 4 group A member 1
IDE	insulin degrading enzyme
IGF2R	insulin like growth factor 2 receptor
ITGAL	integrin subunit alpha L
MCAM	melanoma cell adhesion molecule
MAP3K5	mitogen-activated protein kinase kinase kinase 5
MMP8	matrix metallopeptidase 8
PHB	prohibitin
PRSS1	protease, serine 1
SOD3	superoxide dismutase 3
TLR5	toll like receptor 5
TRPC6	transient receptor potential cation channel subfamily C member 6
TSC1	tuberous sclerosis 1
UMOD	uromodulin
VTN	vitronectin
WFS1	wolframin ER transmembrane glycoprotein
IRS2	insulin receptor substrate 2
TNFSF13	TNF superfamily member 13
TNFSF12	TNF superfamily member 12
IL32	interleukin 32
MFN2	mitofusin 2
NOD1	nucleotide binding oligomerization domain containing 1
NOX1	NADPH oxidase 1
TBX21	T-box 21
ADIPOR1	adiponectin receptor 1
FNDC5	fibronectin type III domain containing 5
ALCAM	activated leukocyte cell adhesion molecule
APAF1	apoptotic peptidase activating factor 1
APOA4	apolipoprotein A4
AQP2	aquaporin 2
ARG1	arginase 1
AVPR2	arginine vasopressin receptor 2
C4B	complement C4B (Chido blood group)
CHRM3	cholinergic receptor muscarinic 3
ATF2	activating transcription factor 2
ENO2	enolase 2
FAAH	fatty acid amide hydrolase
FEN1	flap structure-specific endonuclease 1
FTL	ferritin light chain
GAS6	growth arrest specific 6
GCKR	glucokinase regulator
MSTN	myostatin
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase
HSPA1B	heat shock protein family A (Hsp70) member 1B
CXCR1	C-X-C motif chemokine receptor 1
PDX1	pancreatic and duodenal homeobox 1
IRAK1	interleukin 1 receptor associated kinase 1
KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
LCAT	lecithin-cholesterol acyltransferase
MAOB	monoamine oxidase B
MICB	MHC class I polypeptide-related sequence B
MTTP	microsomal triglyceride transfer protein
NOTCH2	notch 2
NR4A2	nuclear receptor subfamily 4 group A member 2
ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
PON2	paraoxonase 2
POU2F1	POU class 2 homeobox 1
PRKCQ	protein kinase C theta
PRLR	prolactin receptor
PTH1R	parathyroid hormone 1 receptor
RARRES2	retinoic acid receptor responder 2
ATXN2	ataxin 2
SLC2A4	solute carrier family 2 member 4
SLC22A5	solute carrier family 22 member 5
SORL1	sortilin related receptor 1
In some of the published literature, this gene has been incorrectly associated with the LRP9 alias, but the LRP9 alias more correctly refers to Gene ID 26020, LRP10. [05 May 2010]
SP3	Sp3 transcription factor
SRF	serum response factor
TAP2	transporter 2, ATP binding cassette subfamily B member
TBXA2R	thromboxane A2 receptor
TPM1	tropomyosin 1 (alpha)
UCP3	uncoupling protein 3
VASP	vasodilator-stimulated phosphoprotein
ZFP36	ZFP36 ring finger protein
NPHS2	NPHS2, podocin
APOL1	apolipoprotein L1
DLK1	delta like non-canonical Notch ligand 1
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
SIRT3	sirtuin 3
SLC40A1	solute carrier family 40 member 1
ANGPTL4	angiopoietin like 4
ITLN1	intelectin 1
SLC30A8	solute carrier family 30 member 8
MIR196A2	microRNA 196a-2
hsa-mir-196-2	hsa-mir-196a-2	microRNA 196-2
MIR223	microRNA 223
hsa-mir-223
MIR27A	microRNA 27a
hsa-mir-27a
MIR29A	microRNA 29a
microRNA 29
ACTN4	actinin alpha 4
ALAD	aminolevulinate dehydratase
ALOX5AP	arachidonate 5-lipoxygenase activating protein
APOA2	apolipoprotein A2
APOC1	apolipoprotein C1
ARNT	aryl hydrocarbon receptor nuclear translocator
KLF5	Kruppel like factor 5
C4A	complement C4A (Rodgers blood group)
CAPN1	calpain 1
CCND2	cyclin D2
CD74	CD74 molecule
CR2	complement C3d receptor 2
GADD45A	growth arrest and DNA damage inducible alpha
SLC29A1	solute carrier family 29 member 1 (Augustine blood group)
FUT2	fucosyltransferase 2
GHSR	growth hormone secretagogue receptor
GPT	glutamic--pyruvic transaminase
HLA-DRB3	major histocompatibility complex, class II, DR beta 3
only annotated on alternate loci in reference assembly
HLA-DRB4	major histocompatibility complex, class II, DR beta 4
only annotated on alternate loci in reference assembly
HLA-DRB5	major histocompatibility complex, class II, DR beta 5
KIF11	kinesin family member 11
LRP6	LDL receptor related protein 6
CXCL9	C-X-C motif chemokine ligand 9
MMP12	matrix metallopeptidase 12
MSN	moesin
NFATC2	nuclear factor of activated T-cells 2
NPHS1	NPHS1, nephrin
OXT	oxytocin/neurophysin I prepropeptide
PRTN3	proteinase 3
CCL4	C-C motif chemokine ligand 4
TLR1	toll like receptor 1
TRPC1	transient receptor potential cation channel subfamily C member 1
UGT2B7	UDP glucuronosyltransferase family 2 member B7
XDH	xanthine dehydrogenase
TFPI2	tissue factor pathway inhibitor 2
UGT1A9	UDP glucuronosyltransferase family 1 member A9
