ADRB2	adrenoceptor beta 2
EDNRB	endothelin receptor type B
PTK2B	protein tyrosine kinase 2 beta
GFAP	glial fibrillary acidic protein
GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B
GSN	gelsolin
HMGA1	high mobility group AT-hook 1
IL6ST	interleukin 6 signal transducer
STMN1	stathmin 1
LHCGR	luteinizing hormone/choriogonadotropin receptor
PLA2G2A	phospholipase A2 group IIA
HTRA1	HtrA serine peptidase 1
PTCH1	patched 1
PTGS1	prostaglandin-endoperoxide synthase 1
RAN	RAN, member RAS oncogene family
SAA1	serum amyloid A1
CCL3	C-C motif chemokine ligand 3
TBP	TATA-box binding protein
THRB	thyroid hormone receptor beta
TPH1	tryptophan hydroxylase 1
XBP1	X-box binding protein 1
CLOCK	clock circadian regulator
STUB1	STIP1 homology and U-box containing protein 1
IKZF1	IKAROS family zinc finger 1
RACK1	receptor for activated C kinase 1
COL18A1	collagen type XVIII alpha 1 chain
SERPINA3	serpin family A member 3
ALOX15	arachidonate 15-lipoxygenase
BIRC3	baculoviral IAP repeat containing 3
ATF4	activating transcription factor 4
BDKRB2	bradykinin receptor B2
CASP1	caspase 1
CHRNA3	cholinergic receptor nicotinic alpha 3 subunit
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit
CNR2	cannabinoid receptor 2
CP	ceruloplasmin
CRH	corticotropin releasing hormone
CSF3	colony stimulating factor 3
CTSL	cathepsin L
DAPK1	death associated protein kinase 1
DEFB1	defensin beta 1
DNM2	dynamin 2
EEF1A1	eukaryotic translation elongation factor 1 alpha 1
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
ENO1	enolase 1
ENO2	enolase 2
FANCD2	Fanconi anemia complementation group D2
FGF1	fibroblast growth factor 1
FOLH1	folate hydrolase 1
GRIN1	glutamate ionotropic receptor NMDA type subunit 1
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase
FOXA1	forkhead box A1
HNRNPA1	heterogeneous nuclear ribonucleoprotein A1
IDE	insulin degrading enzyme
LOX	lysyl oxidase
LOXL1	lysyl oxidase like 1
MAOB	monoamine oxidase B
MBP	myelin basic protein
NFATC1	nuclear factor of activated T-cells 1
NPC1	NPC intracellular cholesterol transporter 1
PAX2	paired box 2
PAX3	paired box 3
PLA2G4A	phospholipase A2 group IVA
POLB	DNA polymerase beta
PON2	paraoxonase 2
RELN	reelin
PSEN2	presenilin 2
RAB5A	RAB5A, member RAS oncogene family
CCL11	C-C motif chemokine ligand 11
SMPD1	sphingomyelin phosphodiesterase 1
SNAP25	synaptosome associated protein 25
SORL1	sortilin related receptor 1
In some of the published literature, this gene has been incorrectly associated with the LRP9 alias, but the LRP9 alias more correctly refers to Gene ID 26020, LRP10. [05 May 2010]
SSTR2	somatostatin receptor 2
VDAC1	voltage dependent anion channel 1
HIST3H3	histone cluster 3 H3
IL32	interleukin 32
DNM1L	dynamin 1 like
KAT5	lysine acetyltransferase 5
PROCR	protein C receptor
SIRT3	sirtuin 3
SLC40A1	solute carrier family 40 member 1
TREM1	triggering receptor expressed on myeloid cells 1
ARMS2	age-related maculopathy susceptibility 2
MIR223	microRNA 223
hsa-mir-223
MIR27A	microRNA 27a
hsa-mir-27a
MIR29A	microRNA 29a
microRNA 29
ADCYAP1	adenylate cyclase activating polypeptide 1
ALOX12	arachidonate 12-lipoxygenase, 12S type
BIN1	bridging integrator 1
ANPEP	alanyl aminopeptidase, membrane
APOC1	apolipoprotein C1
BAG1	BCL2 associated athanogene 1
C4A	complement C4A (Rodgers blood group)
C5AR1	complement C5a receptor 1
CAPN1	calpain 1
CHRM2	cholinergic receptor muscarinic 2
CCR3	C-C motif chemokine receptor 3
CTSS	cathepsin S
DLG4	discs large MAGUK scaffold protein 4
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
ELK1	ELK1, ETS transcription factor
FAAH	fatty acid amide hydrolase
FABP3	fatty acid binding protein 3
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A
HCRT	hypocretin neuropeptide precursor
HLA-DRB5	major histocompatibility complex, class II, DR beta 5
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
HSPG2	heparan sulfate proteoglycan 2
ITPR1	inositol 1,4,5-trisphosphate receptor type 1
KNG1	kininogen 1
LRP6	LDL receptor related protein 6
CXCL9	C-X-C motif chemokine ligand 9
MMP12	matrix metallopeptidase 12
NEFL	neurofilament light
NOTCH4	notch 4
OXT	oxytocin/neurophysin I prepropeptide
RFC1	replication factor C subunit 1
S100A7	S100 calcium binding protein A7
SET	SET nuclear proto-oncogene
SLC1A2	solute carrier family 1 member 2
UBB	ubiquitin B
PDCD6IP	programmed cell death 6 interacting protein
DKK3	dickkopf WNT signaling pathway inhibitor 3
TREM2	triggering receptor expressed on myeloid cells 2
SLC2A9	solute carrier family 2 member 9
DAOA	D-amino acid oxidase activator
BMP6	bone morphogenetic protein 6
CAMK2A	calcium/calmodulin dependent protein kinase II alpha
CAPN2	calpain 2
CASP2	caspase 2
CASP6	caspase 6
CHAT	choline O-acetyltransferase
RCAN1	regulator of calcineurin 1
ECE1	endothelin converting enzyme 1
FKBP1A	FK506 binding protein 1A
GAD1	glutamate decarboxylase 1
GAD2	glutamate decarboxylase 2
GLB1	galactosidase beta 1
GSK3A	glycogen synthase kinase 3 alpha
HEXB	hexosaminidase subunit beta
IGH	immunoglobulin heavy locus
D (diversity) region of heavy chains	J (joining) region of heavy chains	immunglobulin heavy chain variable region	immunoglobulin heavy diversity cluster	immunoglobulin heavy diversity group	immunoglobulin heavy diversity locus	immunoglobulin heavy joining cluster	immunoglobulin heavy joining group	immunoglobulin heavy polypeptide, joining region	immunoglobulin heavy variable cluster	immunoglobulin heavy variable group
IL3	interleukin 3
KCNA3	potassium voltage-gated channel subfamily A member 3
KLK1	kallikrein 1
LRP2	LDL receptor related protein 2
MEF2A	myocyte enhancer factor 2A
MEF2C	myocyte enhancer factor 2C
MSR1	macrophage scavenger receptor 1
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
NEDD9	neural precursor cell expressed, developmentally down-regulated 9
OPRD1	opioid receptor delta 1
P2RY2	purinergic receptor P2Y2
PAK2	p21 (RAC1) activated kinase 2
PAWR	pro-apoptotic WT1 regulator
PDYN	prodynorphin
PLD2	phospholipase D2
PLTP	phospholipid transfer protein
PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
MAP2K2	mitogen-activated protein kinase kinase 2
PTGDS	prostaglandin D2 synthase
PTGER2	prostaglandin E receptor 2
RGS4	regulator of G protein signaling 4
RORA	RAR related orphan receptor A
SORT1	sortilin 1
S100A12	S100 calcium binding protein A12
SCD	stearoyl-CoA desaturase
TRPM2	transient receptor potential cation channel subfamily M member 2
NR1H2	nuclear receptor subfamily 1 group H member 2
RAB7A	RAB7A, member RAS oncogene family
EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3
PTGES	prostaglandin E synthase
ABCG1	ATP binding cassette subfamily G member 1
GAB2	GRB2 associated binding protein 2
SIGMAR1	sigma non-opioid intracellular receptor 1
KLF2	Kruppel like factor 2
SEMA3A	semaphorin 3A
SIRT2	sirtuin 2
NCSTN	nicastrin
HTRA2	HtrA serine peptidase 2
GAL	galanin and GMAP prepropeptide
CYCS	cytochrome c, somatic
MIR124-1	microRNA 124-1
hsa-mir-124-1	hsa-mir-124a-1	microRNA 124a-1
MIR125A	microRNA 125a
hsa-mir-125a
MIR125B1	microRNA 125b-1
hsa-mir-125b-1
MIR375	microRNA 375
CDKN2B-AS1	CDKN2B antisense RNA 1
CDKN2B antisense RNA 1 (non-protein coding)	antisense noncoding RNA in the INK4 locus	p15 antisense RNA	prostate cancer associated transcript 12
ANK3	ankyrin 3
APCS	amyloid P component, serum
APOD	apolipoprotein D
BCL3	B-cell CLL/lymphoma 3
CAST	calpastatin
CHRNB2	cholinergic receptor nicotinic beta 2 subunit
DRD5	dopamine receptor D5
GRM5	glutamate metabotropic receptor 5
HK1	hexokinase 1
FOXA2	forkhead box A2
HRH1	histamine receptor H1
HTR4	5-hydroxytryptamine receptor 4
INPP5D	inositol polyphosphate-5-phosphatase D
MAP2	microtubule associated protein 2
SLC11A2	solute carrier family 11 member 2
NTS	neurotensin
PPP3CA	protein phosphatase 3 catalytic subunit alpha
KLK6	kallikrein related peptidase 6
RPS6	ribosomal protein S6
SFPQ	splicing factor proline and glutamine rich
SLC8A1	solute carrier family 8 member A1
SLC18A2	solute carrier family 18 member A2
SST	somatostatin
SULT2A1	sulfotransferase family 2A member 1
VLDLR	very low density lipoprotein receptor
PICALM	phosphatidylinositol binding clathrin assembly protein
GSTO1	glutathione S-transferase omega 1
PRDX6	peroxiredoxin 6
TOMM40	translocase of outer mitochondrial membrane 40
ESM1	endothelial cell specific molecule 1
NLRP1	NLR family pyrin domain containing 1
WWC1	WW and C2 domain containing 1
CNTNAP2	contactin associated protein-like 2
HSPB8	heat shock protein family B (small) member 8
UBQLN1	ubiquilin 1
GOLM1	golgi membrane protein 1
NGB	neuroglobin
HRH4	histamine receptor H4
PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
MIR100	microRNA 100
hsa-mir-100
ADARB1	adenosine deaminase, RNA specific B1
APBB1	amyloid beta precursor protein binding family B member 1
ARSB	arylsulfatase B
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
BACH1	BTB domain and CNC homolog 1
CAMK4	calcium/calmodulin dependent protein kinase IV
CD33	CD33 molecule
CKB	creatine kinase B
SLC31A1	solute carrier family 31 member 1
CSNK1D	casein kinase 1 delta
DHCR24	24-dehydrocholesterol reductase
DPYSL2	dihydropyrimidinase like 2
FKBP4	FK506 binding protein 4
GLRX	glutaredoxin
GLUL	glutamate-ammonia ligase
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10
HMOX2	heme oxygenase 2
HNMT	histamine N-methyltransferase
HRH2	histamine receptor H2
HTR6	5-hydroxytryptamine receptor 6
IREB2	iron responsive element binding protein 2
KRT9	keratin 9
LNPEP	leucyl and cystinyl aminopeptidase
BCAM	basal cell adhesion molecule (Lutheran blood group)
MTNR1A	melatonin receptor 1A
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2
PNP	purine nucleoside phosphorylase
P2RX4	purinergic receptor P2X 4
PMCH	pro-melanin concentrating hormone
PURA	purine rich element binding protein A
PVR	poliovirus receptor
SLC2A3	solute carrier family 2 member 3
SNRNP70	small nuclear ribonucleoprotein U1 subunit 70
SYP	synaptophysin
TP53BP2	tumor protein p53 binding protein 2
ZYX	zyxin
LRP8	LDL receptor related protein 8
DDX39B	DExD-box helicase 39B
NRIP1	nuclear receptor interacting protein 1
SOCS2	suppressor of cytokine signaling 2
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1
CARTPT	CART prepropeptide
AKAP9	A-kinase anchoring protein 9
FLOT1	flotillin 1
LILRB2	leukocyte immunoglobulin like receptor B2
PEMT	phosphatidylethanolamine N-methyltransferase
SEMA4D	semaphorin 4D
NPC2	NPC intracellular cholesterol transporter 2
CELF1	CUGBP Elav-like family member 1
PTGES3	prostaglandin E synthase 3
CYP46A1	cytochrome P450 family 46 subfamily A member 1
CARD8	caspase recruitment domain family member 8
SETX	senataxin
CD2AP	CD2 associated protein
SMURF1	SMAD specific E3 ubiquitin protein ligase 1
TET1	tet methylcytosine dioxygenase 1
SYVN1	synoviolin 1
MIR107	microRNA 107
hsa-mir-107
MIR132	microRNA 132
hsa-mir-132
MIR29B1	microRNA 29b-1
hsa-mir-29b-1
APLP2	amyloid beta precursor like protein 2
ZFHX3	zinc finger homeobox 3
C1R	complement C1r
This gene aligns across a gap in the GRCh38 reference genome assembly, and therefore, the 5' end of this gene was annotated on NT_009714.18 and the 3' end was annotated on NT_009759.17 in NCBI's Homo sapiens Annotation Release 106. [29 Jun 2015]	suggests misassembly
CASP4	caspase 4
CHGB	chromogranin B
CPE	carboxypeptidase E
CTNND2	catenin delta 2
EPHA1	EPH receptor A1
GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C
HCRTR1	hypocretin receptor 1
HCRTR2	hypocretin receptor 2
AFF1	AF4/FMR2 family member 1
PCK1	phosphoenolpyruvate carboxykinase 1
PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
PCSK5	proprotein convertase subtilisin/kexin type 5
SERPINI1	serpin family I member 1
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
PPID	peptidylprolyl isomerase D
This gene encodes a 370 aa protein that is found in the cytoplasm. In some databases, it has been labeled incorrectly as 'cyclophilin D'. This same name has also been applied to a different protein, found in the mitochondrion, which is represented by Entrez GeneID 10105, PPIF. [13 Feb 2013]
NECTIN2	nectin cell adhesion molecule 2
ITSN1	intersectin 1
SOAT1	sterol O-acyltransferase 1
ACAT1 (GeneID 38) and SOAT1 (GeneID 6646) loci share the ACAT1 symbol/alias in common. ACAT1 is widely used alternative name for acyl-Coenzyme A: cholesterol acyltransferase 1 (SOAT1) conflicting with the official symbol for acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (ACAT1). [13 Feb 2013]
THBS4	thrombospondin 4
VSNL1	visinin like 1
CUBN	cubilin
WASF1	WAS protein family member 1
LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
CYP7B1	cytochrome P450 family 7 subfamily B member 1
ITM2B	integral membrane protein 2B
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1
CIB1	calcium and integrin binding 1
HRH3	histamine receptor H3
BACE2	beta-site APP-cleaving enzyme 2
APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
KCNIP3	potassium voltage-gated channel interacting protein 3
DDIT4	DNA damage inducible transcript 4
PSENEN	presenilin enhancer gamma-secretase subunit
KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
only annotated on alternate loci in reference assembly
CSMD1	CUB and Sushi multiple domains 1
RTN4R	reticulon 4 receptor
ACO2	aconitase 2
AP2A2	adaptor related protein complex 2 alpha 2 subunit
ALAS1	5'-aminolevulinate synthase 1
BLMH	bleomycin hydrolase
BLVRA	biliverdin reductase A
CFL2	cofilin 2
CHN1	chimerin 1
CISH	cytokine inducible SH2 containing protein
ACKR2	atypical chemokine receptor 2
DBN1	drebrin 1
ELAVL4	ELAV like RNA binding protein 4
BPTF	bromodomain PHD finger transcription factor
GPC1	glypican 1
GRM2	glutamate metabotropic receptor 2
GSTA4	glutathione S-transferase alpha 4
IL1RAP	interleukin 1 receptor accessory protein
KLC1	kinesin light chain 1
MELTF	melanotransferrin
NRGN	neurogranin
PPP3R1	protein phosphatase 3 regulatory subunit B, alpha
PSMA1	proteasome subunit alpha 1
RYR3	ryanodine receptor 3
CCL15	C-C motif chemokine ligand 15
SOX5	SRY-box 5
TACR2	tachykinin receptor 2
TFCP2	transcription factor CP2
MADD	MAP kinase activating death domain
PDE8B	phosphodiesterase 8B
ADAM19	ADAM metallopeptidase domain 19
CACNA1G	calcium voltage-gated channel subunit alpha1 G
KALRN	kalirin RhoGEF kinase
SLC28A1	solute carrier family 28 member 1
NRXN3	neurexin 3
NCR2	natural cytotoxicity triggering receptor 2
HOMER1	homer scaffolding protein 1
ELMO1	engulfment and cell motility 1
RTN3	reticulon 3
ABCA7	ATP binding cassette subfamily A member 7
FERMT2	fermitin family member 2
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3
SASH1	SAM and SH3 domain containing 1
NCS1	neuronal calcium sensor 1
PRND	prion like protein doppel
PPP1R15A	protein phosphatase 1 regulatory subunit 15A
C5AR2	complement component 5a receptor 2
CTNNA3	catenin alpha 3
PARVB	parvin beta
FIS1	fission, mitochondrial 1
SH3GLB1	SH3 domain containing GRB2 like, endophilin B1
APH1A	aph-1 homolog A, gamma-secretase subunit
CDK5RAP2	CDK5 regulatory subunit associated protein 2
CAND1	cullin associated and neddylation dissociated 1
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
DERL1	derlin 1
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
CNTN4	contactin 4
CALHM1	calcium homeostasis modulator 1
AGRN	agrin
MIR212	microRNA 212
hsa-mir-212
MIR302A	microRNA 302a
hsa-mir-302a	microRNA 302
ABCA2	ATP binding cassette subfamily A member 2
ADCY8	adenylate cyclase 8
APBA1	amyloid beta precursor protein binding family A member 1
APBA2	amyloid beta precursor protein binding family A member 2
CCNC	cyclin C
COX4I1	cytochrome c oxidase subunit 4I1
EFNA5	ephrin A5
FRK	fyn related Src family tyrosine kinase
ME2	malic enzyme 2
MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
NUCB1	nucleobindin 1
PGAM1	phosphoglycerate mutase 1
POU4F1	POU class 4 homeobox 1
RFC3	replication factor C subunit 3
SP4	Sp4 transcription factor
VGF	VGF nerve growth factor inducible
MZF1	myeloid zinc finger 1
CHAF1B	chromatin assembly factor 1 subunit B
CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
DOK2	docking protein 2
NPEPPS	aminopeptidase puromycin sensitive
MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
CELF2	CUGBP Elav-like family member 2
TMED10	transmembrane p24 trafficking protein 10
STMN2	stathmin 2
QPCT	glutaminyl-peptide cyclotransferase
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
GLS2	glutaminase 2
SLC39A1	solute carrier family 39 member 1
RGCC	regulator of cell cycle
PLA2G3	phospholipase A2 group III
